time,t_load_u1,t_load_u2,load_t_user3,t_load_u3,t_load_u4,t_load_u5,t_load_u6,t_load_u7,t_load_u8,t_load_u9,t_load_u10,t_load_u1_heat_cool,T_int,T_ext,mode,
29,10,10,3.831190095,10,10,0,10,10,10,10,10,10,20,5,1,
30,10,10,3.932720834,10,10,0,10,10,10,10,10,10,20,5,1,
31,10,10,4.037755823,10,10,0,10,10,10,10,10,10,20,5,1,
32,10,10,4.13920543,10,10,0,10,10,10,10,10,10,20,5,1,
33,10,10,4.233199321,10,10,0,10,10,10,10,10,10,20,5,1,
34,10,10,4.314984804,10,10,0,10,10,10,10,10,10,20,5,1,
35,10,10,4.270246493,10,10,0,10,10,10,10,10,10,20,5,1,
36,10,10,3.989918173,10,10,0,10,10,10,10,10,10,20,5,1,
37,10,10,3.576196466,10,10,0,10,10,10,10,10,10,20,5,1,
38,10,10,3.17883215,10,10,0,10,10,10,10,10,10,20,5,1,
39,10,10,2.794303484,10,10,0,10,10,10,10,10,10,20,5,1,
40,10,10,2.471265673,10,10,0,10,10,10,10,10,10,20,5,1,
41,10,10,2.261647196,10,10,0,10,10,10,10,10,10,20,5,1,
42,10,10,2.142149314,10,10,0,10,10,10,10,10,10,20,5,1,
43,10,10,2.236806272,10,10,0,10,10,10,10,10,10,20,5,1,
44,10,10,2.565314893,10,10,0,10,10,10,10,10,10,20,5,1,
45,10,10,2.797284008,10,10,0,10,10,10,10,10,10,20,5,1,
46,10,10,3.020072374,10,10,0,10,10,10,10,10,10,20,5,1,
47,10,10,3.130632332,10,10,0,10,10,10,10,10,10,20,5,1,
48,10,10,3.352549839,10,10,0,10,10,10,10,10,10,20,5,1,
49,10,10,3.521212936,10,10,0,10,10,10,10,10,10,20,5,1,
50,10,10,2.795178023,10,10,0,10,10,10,10,10,10,20,5,1,
51,10,10,2.679954343,10,10,0,10,10,10,10,10,10,20,5,1,
52,10,10,2.678187162,10,10,0,10,10,10,10,10,10,20,5,1,
53,10,10,2.697263271,10,10,0,10,10,10,10,10,10,20,5,1,
54,10,10,2.718814088,10,10,0,10,10,10,10,10,10,20,5,1,
55,10,10,2.720135116,10,10,0,10,10,10,10,10,10,20,5,1,
56,10,10,2.694299611,10,10,0,10,10,10,10,10,10,20,5,1,
57,10,10,2.755164716,10,10,0,10,10,10,10,10,10,20,5,1,
58,10,10,2.646919906,10,10,0,10,10,10,10,10,10,20,5,1,
59,10,10,2.277316454,10,10,0,10,10,10,10,10,10,20,5,1,
60,10,10,1.817895483,10,10,0,10,10,10,10,10,10,20,5,1,
61,10,10,1.348326403,10,10,0,10,10,10,10,10,10,20,5,1,
62,10,10,0.812068288,10,10,0,10,10,10,10,10,10,20,5,1,
63,10,10,0.304628761,10,10,0,10,10,10,10,10,10,20,5,1,
64,10,10,0.114058262,10,10,0,10,10,10,10,10,10,20,5,1,
65,10,10,0,10,10,0,10,10,10,10,10,10,20,5,1,
66,10,10,0,10,10,0,10,10,10,10,10,10,20,5,1,
67,10,10,0,10,10,0,10,10,10,10,10,10,20,5,1,
68,10,10,0,10,10,0,10,10,10,10,10,10,20,5,1,
69,10,10,0.156309668,10,10,0,10,10,10,10,10,10,20,5,1,
70,10,10,0.322369061,10,10,0,10,10,10,10,10,10,20,5,1,
71,10,10,0.542011166,10,10,0,10,10,10,10,10,10,20,5,1,
72,10,10,0.684387911,10,10,0,10,10,10,10,10,10,20,5,1,
73,10,10,0.862440283,10,10,0,10,10,10,10,10,10,20,5,1,
74,10,10,1.050531234,10,10,0,10,10,10,10,10,10,20,5,1,
75,10,10,1.181556632,10,10,0,10,10,10,10,10,10,20,5,1,
76,10,10,1.289812746,10,10,0,10,10,10,10,10,10,20,5,1,
77,10,10,1.475491525,10,10,0,10,10,10,10,10,10,20,5,1,
78,10,10,1.672726583,10,10,0,10,10,10,10,10,10,20,5,1,
79,10,10,1.828169953,10,10,0,10,10,10,10,10,10,20,5,1,
80,10,10,1.999315257,10,10,0,10,10,10,10,10,10,20,5,1,
81,10,10,2.184025632,10,10,0,10,10,10,10,10,10,20,5,1,
82,10,10,2.281687868,10,10,0,10,10,10,10,10,10,20,5,1,
83,10,10,2.228450137,10,10,0,10,10,10,10,10,10,20,5,1,
84,10,10,1.952217081,10,10,0,10,10,10,10,10,10,20,5,1,
85,10,10,1.689598359,10,10,0,10,10,10,10,10,10,20,5,1,
86,10,10,0.944420832,10,10,0,10,10,10,10,10,10,20,5,1,
87,10,10,0.433827772,10,10,0,10,10,10,10,10,10,20,5,1,
88,10,10,0.085753921,10,10,0,10,10,10,10,10,10,20,5,1,
89,10,10,0.124592472,10,10,0,10,10,10,10,10,10,20,5,1,
90,10,10,0.046789011,10,10,0,10,10,10,10,10,10,20,5,1,
91,10,10,0.264310534,10,10,0,10,10,10,10,10,10,20,5,1,
92,10,10,0.369928931,10,10,0,10,10,10,10,10,10,20,5,1,
93,10,10,0.504730934,10,10,0,10,10,10,10,10,10,20,5,1,
94,10,10,0.786241581,10,10,0,10,10,10,10,10,10,20,5,1,
95,10,10,1.06279829,10,10,0,10,10,10,10,10,10,20,5,1,
96,10,10,1.356162945,10,10,0,10,10,10,10,10,10,20,5,1,
97,10,10,1.570822025,10,10,0,10,10,10,10,10,10,20,5,1,
98,10,10,2.085933284,10,10,0,10,10,10,10,10,10,20,5,1,
99,10,10,2.375703898,10,10,0,10,10,10,10,10,10,20,5,1,
100,10,10,2.569733898,10,10,0,10,10,10,10,10,10,20,5,1,
101,10,10,2.712875804,10,10,0,10,10,10,10,10,10,20,5,1,
102,10,10,2.83682929,10,10,0,10,10,10,10,10,10,20,5,1,
103,10,10,3.013920875,10,10,0,10,10,10,10,10,10,20,5,1,
104,10,10,3.000538038,10,10,0,10,10,10,10,10,10,20,5,1,
105,10,10,3.214284097,10,10,0,10,10,10,10,10,10,20,5,1,
106,10,10,3.247263788,10,10,0,10,10,10,10,10,10,20,5,1,
107,10,10,3.254622951,10,10,0,10,10,10,10,10,10,20,5,1,
108,10,10,2.772366905,10,10,0,10,10,10,10,10,10,20,5,1,
109,10,10,2.317818989,10,10,0,10,10,10,10,10,10,20,5,1,
110,10,10,1.858903811,10,10,0,10,10,10,10,10,10,20,5,1,
111,10,10,1.465993528,10,10,0,10,10,10,10,10,10,20,5,1,
112,10,10,1.159946634,10,10,0,10,10,10,10,10,10,20,5,1,
113,10,10,0.999879646,10,10,0,10,10,10,10,10,10,20,5,1,
114,10,10,1.036669828,10,10,0,10,10,10,10,10,10,20,5,1,
115,10,10,1.270754444,10,10,0,10,10,10,10,10,10,20,5,1,
116,10,10,1.542310065,10,10,0,10,10,10,10,10,10,20,5,1,
117,10,10,1.791050151,10,10,0,10,10,10,10,10,10,20,5,1,
118,10,10,1.932696027,10,10,0,10,10,10,10,10,10,20,5,1,
119,10,10,1.973530603,10,10,0,10,10,10,10,10,10,20,5,1,
120,10,10,2.03614286,10,10,0,10,10,10,10,10,10,20,5,1,
121,10,10,2.097191705,10,10,0,10,10,10,10,10,10,20,5,1,
122,10,10,2.723356811,10,10,0,10,10,10,10,10,10,20,5,1,
123,10,10,2.930104515,10,10,0,10,10,10,10,10,10,20,5,1,
124,10,10,3.092235808,10,10,0,10,10,10,10,10,10,20,5,1,
125,10,10,3.235747987,10,10,0,10,10,10,10,10,10,20,5,1,
126,10,10,3.363085588,10,10,0,10,10,10,10,10,10,20,5,1,
127,10,10,3.338297489,10,10,0,10,10,10,10,10,10,20,5,1,
128,10,10,3.393996515,10,10,0,10,10,10,10,10,10,20,5,1,
129,10,10,3.375700889,10,10,0,10,10,10,10,10,10,20,5,1,
130,10,10,3.427891489,10,10,0,10,10,10,10,10,10,20,5,1,
131,10,10,3.455255287,10,10,0,10,10,10,10,10,10,20,5,1,
132,10,10,3.334515498,10,10,0,10,10,10,10,10,10,20,5,1,
133,10,10,3.006888539,10,10,0,10,10,10,10,10,10,20,5,1,
134,10,10,2.540232095,10,10,0,10,10,10,10,10,10,20,5,1,
135,10,10,2.233170243,10,10,0,10,10,10,10,10,10,20,5,1,
136,10,10,1.945078797,10,10,0,10,10,10,10,10,10,20,5,1,
137,10,10,1.834942611,10,10,0,10,10,10,10,10,10,20,5,1,
138,10,10,1.838347991,10,10,0,10,10,10,10,10,10,20,5,1,
139,10,10,1.980700725,10,10,0,10,10,10,10,10,10,20,5,1,
140,10,10,2.110336331,10,10,0,10,10,10,10,10,10,20,5,1,
141,10,10,2.194587642,10,10,0,10,10,10,10,10,10,20,5,1,
142,10,10,2.280870889,10,10,0,10,10,10,10,10,10,20,5,1,
143,10,10,2.384606143,10,10,0,10,10,10,10,10,10,20,5,1,
144,10,10,2.480902194,10,10,0,10,10,10,10,10,10,20,5,1,
145,10,10,2.480902194,10,10,0,10,10,10,10,10,10,20,5,1,
146,10,10,7.904639538,10,10,0,10,10,10,10,10,10,20,5,1,
147,10,10,6.978618506,10,10,0,10,10,10,10,10,10,20,5,1,
148,10,10,6.219695185,10,10,0,10,10,10,10,10,10,20,5,1,
149,10,10,5.674585435,10,10,0,10,10,10,10,10,10,20,5,1,
150,10,10,5.075766955,10,10,0,10,10,10,10,10,10,20,5,1,
151,10,10,4.706851,10,10,0,10,10,10,10,10,10,20,5,1,
152,10,10,4.43675714,10,10,0,10,10,10,10,10,10,20,5,1,
153,10,10,4.220910338,10,10,0,10,10,10,10,10,10,20,5,1,
154,10,10,4.070707607,10,10,0,10,10,10,10,10,10,20,5,1,
155,10,10,3.936902676,10,10,0,10,10,10,10,10,10,20,5,1,
156,10,10,3.807350709,10,10,0,10,10,10,10,10,10,20,5,1,
157,10,10,3.635111813,10,10,0,10,10,10,10,10,10,20,5,1,
158,10,10,3.373022209,10,10,0,10,10,10,10,10,10,20,5,1,
159,10,10,3.031716749,10,10,0,10,10,10,10,10,10,20,5,1,
160,10,10,2.932529858,10,10,0,10,10,10,10,10,10,20,5,1,
161,10,10,2.598998755,10,10,0,10,10,10,10,10,10,20,5,1,
162,10,10,2.444216736,10,10,0,10,10,10,10,10,10,20,5,1,
163,10,10,2.428445806,10,10,0,10,10,10,10,10,10,20,5,1,
164,10,10,2.638592294,10,10,0,10,10,10,10,10,10,20,5,1,
165,10,10,2.880144587,10,10,0,10,10,10,10,10,10,20,5,1,
166,10,10,3.084572129,10,10,0,10,10,10,10,10,10,20,5,1,
167,10,10,3.28902281,10,10,0,10,10,10,10,10,10,20,5,1,
168,10,10,3.425615953,10,10,0,10,10,10,10,10,10,20,5,1,
169,10,10,3.556249608,10,10,0,10,10,10,10,10,10,20,5,1,
170,10,10,3.695346997,10,10,0,10,10,10,10,10,10,20,5,1,
171,10,10,3.591791031,10,10,0,10,10,10,10,10,10,20,5,1,
172,10,10,3.657958533,10,10,0,10,10,10,10,10,10,20,5,1,
173,10,10,3.747079244,10,10,0,10,10,10,10,10,10,20,5,1,
174,10,10,3.831190095,10,10,0,10,10,10,10,10,10,20,5,1,
175,10,10,3.932720834,10,10,0,10,10,10,10,10,10,20,5,1,
176,10,10,4.037755823,10,10,0,10,10,10,10,10,10,20,5,1,
177,10,10,4.13920543,10,10,0,10,10,10,10,10,10,20,5,1,
178,10,10,4.233199321,10,10,0,10,10,10,10,10,10,20,5,1,
179,10,10,4.314984804,10,10,0,10,10,10,10,10,10,20,5,1,
180,10,10,4.270246493,10,10,0,10,10,10,10,10,10,20,5,1,
181,10,10,3.989918173,10,10,0,10,10,10,10,10,10,20,5,1,
182,10,10,3.576196466,10,10,0,10,10,10,10,10,10,20,5,1,
183,10,10,3.17883215,10,10,0,10,10,10,10,10,10,20,5,1,
184,10,10,2.794303484,10,10,0,10,10,10,10,10,10,20,5,1,
185,10,10,2.471265673,10,10,0,10,10,10,10,10,10,20,5,1,
186,10,10,2.261647196,10,10,0,10,10,10,10,10,10,20,5,1,
187,10,10,2.142149314,10,10,0,10,10,10,10,10,10,20,5,1,
188,10,10,2.236806272,10,10,0,10,10,10,10,10,10,20,5,1,
189,10,10,2.565314893,10,10,0,10,10,10,10,10,10,20,5,1,
190,10,10,2.797284008,10,10,0,10,10,10,10,10,10,20,5,1,
191,10,10,3.020072374,10,10,0,10,10,10,10,10,10,20,5,1,
192,10,10,3.130632332,10,10,0,10,10,10,10,10,10,20,5,1,
193,10,10,3.352549839,10,10,0,10,10,10,10,10,10,20,5,1,
194,10,10,3.521212936,10,10,0,10,10,10,10,10,10,20,5,1,
195,10,10,2.795178023,10,10,0,10,10,10,10,10,10,20,5,1,
196,10,10,2.679954343,10,10,0,10,10,10,10,10,10,20,5,1,
197,10,10,2.678187162,10,10,0,10,10,10,10,10,10,20,5,1,
198,10,10,2.697263271,10,10,0,10,10,10,10,10,10,20,5,1,
199,10,10,2.718814088,10,10,0,10,10,10,10,10,10,20,5,1,
200,10,10,2.720135116,10,10,0,10,10,10,10,10,10,20,5,1,
201,10,10,2.694299611,10,10,0,10,10,10,10,10,10,20,5,1,
202,10,10,2.755164716,10,10,0,10,10,10,10,10,10,20,5,1,
203,10,10,2.646919906,10,10,0,10,10,10,10,10,10,20,5,1,
204,10,10,2.277316454,10,10,0,10,10,10,10,10,10,20,5,1,
205,10,10,1.817895483,10,10,0,10,10,10,10,10,10,20,5,1,
206,10,10,1.348326403,10,10,0,10,10,10,10,10,10,20,5,1,
207,10,10,0.812068288,10,10,0,10,10,10,10,10,10,20,5,1,
208,10,10,0.304628761,10,10,0,10,10,10,10,10,10,20,5,1,
209,10,10,0.114058262,10,10,0,10,10,10,10,10,10,20,5,1,
210,10,10,0,10,10,0,10,10,10,10,10,10,20,5,1,
211,10,10,0,10,10,0,10,10,10,10,10,10,20,5,1,
212,10,10,0,10,10,0,10,10,10,10,10,10,20,5,1,
213,10,10,0,10,10,0,10,10,10,10,10,10,20,5,1,
214,10,10,0.156309668,10,10,0,10,10,10,10,10,10,20,5,1,
215,10,10,0.322369061,10,10,0,10,10,10,10,10,10,20,5,1,
216,10,10,0.542011166,10,10,0,10,10,10,10,10,10,20,5,1,
217,10,10,0.684387911,10,10,0,10,10,10,10,10,10,20,5,1,
218,10,10,0.862440283,10,10,0,10,10,10,10,10,10,20,5,1,
219,10,10,1.050531234,10,10,0,10,10,10,10,10,10,20,5,1,
220,10,10,1.181556632,10,10,0,10,10,10,10,10,10,20,5,1,
221,10,10,1.289812746,10,10,0,10,10,10,10,10,10,20,5,1,
222,10,10,1.475491525,10,10,0,10,10,10,10,10,10,20,5,1,
223,10,10,1.672726583,10,10,0,10,10,10,10,10,10,20,5,1,
224,10,10,1.828169953,10,10,0,10,10,10,10,10,10,20,5,1,
225,10,10,1.999315257,10,10,0,10,10,10,10,10,10,20,5,1,
226,10,10,2.184025632,10,10,0,10,10,10,10,10,10,20,5,1,
227,10,10,2.281687868,10,10,0,10,10,10,10,10,10,20,5,1,
228,10,10,2.228450137,10,10,0,10,10,10,10,10,10,20,5,1,
229,10,10,1.952217081,10,10,0,10,10,10,10,10,10,20,5,1,
230,10,10,1.689598359,10,10,0,10,10,10,10,10,10,20,5,1,
231,10,10,0.944420832,10,10,0,10,10,10,10,10,10,20,5,1,
232,10,10,0.433827772,10,10,0,10,10,10,10,10,10,20,5,1,
233,10,10,0.085753921,10,10,0,10,10,10,10,10,10,20,5,1,
234,10,10,0.124592472,10,10,0,10,10,10,10,10,10,20,5,1,
235,10,10,0.046789011,10,10,0,10,10,10,10,10,10,20,5,1,
236,10,10,0.264310534,10,10,0,10,10,10,10,10,10,20,5,1,
237,10,10,0.369928931,10,10,0,10,10,10,10,10,10,20,5,1,
238,10,10,0.504730934,10,10,0,10,10,10,10,10,10,20,5,1,
239,10,10,0.786241581,10,10,0,10,10,10,10,10,10,20,5,1,
240,10,10,1.06279829,10,10,0,10,10,10,10,10,10,20,5,1,
241,10,10,1.356162945,10,10,0,10,10,10,10,10,10,20,5,1,
242,10,10,1.570822025,10,10,0,10,10,10,10,10,10,20,5,1,
243,10,10,2.085933284,10,10,0,10,10,10,10,10,10,20,5,1,
244,10,10,2.375703898,10,10,0,10,10,10,10,10,10,20,5,1,
245,10,10,2.569733898,10,10,0,10,10,10,10,10,10,20,5,1,
246,10,10,2.712875804,10,10,0,10,10,10,10,10,10,20,5,1,
247,10,10,2.83682929,10,10,0,10,10,10,10,10,10,20,5,1,
248,10,10,3.013920875,10,10,0,10,10,10,10,10,10,20,5,1,
249,10,10,3.000538038,10,10,0,10,10,10,10,10,10,20,5,1,
250,10,10,3.214284097,10,10,0,10,10,10,10,10,10,20,5,1,
251,10,10,3.247263788,10,10,0,10,10,10,10,10,10,20,5,1,
252,10,10,3.254622951,10,10,0,10,10,10,10,10,10,20,5,1,
253,10,10,2.772366905,10,10,0,10,10,10,10,10,10,20,5,1,
254,10,10,2.317818989,10,10,0,10,10,10,10,10,10,20,5,1,
255,10,10,1.858903811,10,10,0,10,10,10,10,10,10,20,5,1,
256,10,10,1.465993528,10,10,0,10,10,10,10,10,10,20,5,1,
257,10,10,1.159946634,10,10,0,10,10,10,10,10,10,20,5,1,
258,10,10,0.999879646,10,10,0,10,10,10,10,10,10,20,5,1,
259,10,10,1.036669828,10,10,0,10,10,10,10,10,10,20,5,1,
260,10,10,1.270754444,10,10,0,10,10,10,10,10,10,20,5,1,
261,10,10,1.542310065,10,10,0,10,10,10,10,10,10,20,5,1,
262,10,10,1.791050151,10,10,0,10,10,10,10,10,10,20,5,1,
263,10,10,1.932696027,10,10,0,10,10,10,10,10,10,20,5,1,
264,10,10,1.973530603,10,10,0,10,10,10,10,10,10,20,5,1,
265,10,10,2.03614286,10,10,0,10,10,10,10,10,10,20,5,1,
266,10,10,2.097191705,10,10,0,10,10,10,10,10,10,20,5,1,
267,10,10,2.723356811,10,10,0,10,10,10,10,10,10,20,5,1,
268,10,10,2.930104515,10,10,0,10,10,10,10,10,10,20,5,1,
269,10,10,3.092235808,10,10,0,10,10,10,10,10,10,20,5,1,
270,10,10,3.235747987,10,10,0,10,10,10,10,10,10,20,5,1,
271,10,10,3.363085588,10,10,0,10,10,10,10,10,10,20,5,1,
272,10,10,3.338297489,10,10,0,10,10,10,10,10,10,20,5,1,
273,10,10,3.393996515,10,10,0,10,10,10,10,10,10,20,5,1,
274,10,10,3.375700889,10,10,0,10,10,10,10,10,10,20,5,1,
275,10,10,3.427891489,10,10,0,10,10,10,10,10,10,20,5,1,
276,10,10,3.455255287,10,10,0,10,10,10,10,10,10,20,5,1,
277,10,10,3.334515498,10,10,0,10,10,10,10,10,10,20,5,1,
278,10,10,3.006888539,10,10,0,10,10,10,10,10,10,20,5,1,
279,10,10,2.540232095,10,10,0,10,10,10,10,10,10,20,5,1,
280,10,10,2.233170243,10,10,0,10,10,10,10,10,10,20,5,1,
281,10,10,1.945078797,10,10,0,10,10,10,10,10,10,20,5,1,
282,10,10,1.834942611,10,10,0,10,10,10,10,10,10,20,5,1,
283,10,10,1.838347991,10,10,0,10,10,10,10,10,10,20,5,1,
284,10,10,1.980700725,10,10,0,10,10,10,10,10,10,20,5,1,
285,10,10,2.110336331,10,10,0,10,10,10,10,10,10,20,5,1,
286,10,10,2.194587642,10,10,0,10,10,10,10,10,10,20,5,1,
287,10,10,2.280870889,10,10,0,10,10,10,10,10,10,20,5,1,
288,10,10,2.384606143,10,10,0,10,10,10,10,10,10,20,5,1,
289,10,10,2.480902194,10,10,0,10,10,10,10,10,-10,20,5,-1,
290,10,10,2.480902194,10,10,0,10,10,10,10,10,-10,20,5,-1,
291,10,10,7.904639538,10,10,0,10,10,10,10,10,-10,20,5,-1,
292,10,10,6.978618506,10,10,0,10,10,10,10,10,-10,20,5,-1,
293,10,10,6.219695185,10,10,0,10,10,10,10,10,-10,20,5,-1,
294,10,10,5.674585435,10,10,0,10,10,10,10,10,-10,20,5,-1,
295,10,10,5.075766955,10,10,0,10,10,10,10,10,-10,20,5,-1,
296,10,10,4.706851,10,10,0,10,10,10,10,10,-10,20,5,-1,
297,10,10,4.43675714,10,10,0,10,10,10,10,10,-10,20,5,-1,
298,10,10,4.220910338,10,10,0,10,10,10,10,10,-10,20,5,-1,
299,10,10,4.070707607,10,10,0,10,10,10,10,10,-10,20,5,-1,
300,10,10,3.936902676,10,10,0,10,10,10,10,10,-10,20,5,-1,
301,10,10,3.807350709,10,10,0,10,10,10,10,10,-10,20,5,-1,
302,10,10,3.635111813,10,10,0,10,10,10,10,10,-10,20,5,-1,
303,10,10,3.373022209,10,10,0,10,10,10,10,10,-10,20,5,-1,
304,10,10,3.031716749,10,10,0,10,10,10,10,10,-10,20,5,-1,
305,10,10,2.932529858,10,10,0,10,10,10,10,10,-10,20,5,-1,
306,10,10,2.598998755,10,10,0,10,10,10,10,10,-10,20,5,-1,
307,10,10,2.444216736,10,10,0,10,10,10,10,10,-10,20,5,-1,
308,10,10,2.428445806,10,10,0,10,10,10,10,10,-10,20,5,-1,
309,10,10,2.638592294,10,10,0,10,10,10,10,10,-10,20,5,-1,
310,10,10,2.880144587,10,10,0,10,10,10,10,10,-10,20,5,-1,
311,10,10,3.084572129,10,10,0,10,10,10,10,10,-10,20,5,-1,
312,10,10,3.28902281,10,10,0,10,10,10,10,10,-10,20,5,-1,
313,10,10,3.425615953,10,10,0,10,10,10,10,10,-10,20,5,-1,
314,10,10,3.556249608,10,10,0,10,10,10,10,10,-10,20,5,-1,
315,10,10,3.695346997,10,10,0,10,10,10,10,10,-10,20,5,-1,
316,10,10,3.591791031,10,10,0,10,10,10,10,10,-10,20,5,-1,
317,10,10,3.657958533,10,10,0,10,10,10,10,10,-10,20,5,-1,
318,10,10,3.747079244,10,10,0,10,10,10,10,10,-10,20,5,-1,
319,10,10,3.831190095,10,10,0,10,10,10,10,10,-10,20,5,-1,
320,10,10,3.932720834,10,10,0,10,10,10,10,10,-10,20,5,-1,
321,10,10,4.037755823,10,10,0,10,10,10,10,10,-10,20,5,-1,
322,10,10,4.13920543,10,10,0,10,10,10,10,10,-10,20,5,-1,
323,10,10,4.233199321,10,10,0,10,10,10,10,10,-10,20,5,-1,
324,10,10,4.314984804,10,10,0,10,10,10,10,10,-10,20,5,-1,
325,10,10,4.270246493,10,10,0,10,10,10,10,10,-10,20,5,-1,
326,10,10,3.989918173,10,10,0,10,10,10,10,10,-10,20,5,-1,
327,10,10,3.576196466,10,10,0,10,10,10,10,10,-10,20,5,-1,
328,10,10,3.17883215,10,10,0,10,10,10,10,10,-10,20,5,-1,
329,10,10,2.794303484,10,10,0,10,10,10,10,10,-10,20,5,-1,
330,10,10,2.471265673,10,10,0,10,10,10,10,10,-10,20,5,-1,
331,10,10,2.261647196,10,10,0,10,10,10,10,10,-10,20,5,-1,
332,10,10,2.142149314,10,10,0,10,10,10,10,10,-10,20,5,-1,
333,10,10,2.236806272,10,10,0,10,10,10,10,10,-10,20,5,-1,
334,10,10,2.565314893,10,10,0,10,10,10,10,10,-10,20,5,-1,
335,10,10,2.797284008,10,10,0,10,10,10,10,10,-10,20,5,-1,
336,10,10,3.020072374,10,10,0,10,10,10,10,10,-10,20,5,-1,
337,10,10,3.130632332,10,10,0,10,10,10,10,10,-10,20,5,-1,
338,10,10,3.352549839,10,10,0,10,10,10,10,10,-10,20,5,-1,
339,10,10,3.521212936,10,10,0,10,10,10,10,10,-10,20,5,-1,
340,10,10,2.795178023,10,10,0,10,10,10,10,10,-10,20,5,-1,
341,10,10,2.679954343,10,10,0,10,10,10,10,10,-10,20,5,-1,
342,10,10,2.678187162,10,10,0,10,10,10,10,10,-10,20,5,-1,
343,10,10,2.697263271,10,10,0,10,10,10,10,10,-10,20,5,-1,
344,10,10,2.718814088,10,10,0,10,10,10,10,10,-10,20,5,-1,
345,10,10,2.720135116,10,10,0,10,10,10,10,10,-10,20,5,-1,
346,10,10,2.694299611,10,10,0,10,10,10,10,10,-10,20,5,-1,
347,10,10,2.755164716,10,10,0,10,10,10,10,10,-10,20,5,-1,
348,10,10,2.646919906,10,10,0,10,10,10,10,10,-10,20,5,-1,
349,10,10,2.277316454,10,10,0,10,10,10,10,10,-10,20,5,-1,
350,10,10,1.817895483,10,10,0,10,10,10,10,10,-10,20,5,-1,
351,10,10,1.348326403,10,10,0,10,10,10,10,10,-10,20,5,-1,
352,10,10,0.812068288,10,10,0,10,10,10,10,10,-10,20,5,-1,
353,10,10,0.304628761,10,10,0,10,10,10,10,10,-10,20,5,-1,
354,10,10,0.114058262,10,10,0,10,10,10,10,10,-10,20,5,-1,
355,10,10,0,10,10,0,10,10,10,10,10,-10,20,5,-1,
356,10,10,0,10,10,0,10,10,10,10,10,-10,20,5,-1,
357,10,10,0,10,10,0,10,10,10,10,10,-10,20,5,-1,
358,10,10,0,10,10,0,10,10,10,10,10,-10,20,5,-1,
359,10,10,0.156309668,10,10,0,10,10,10,10,10,-10,20,5,-1,
360,10,10,0.322369061,10,10,0,10,10,10,10,10,-10,20,5,-1,
361,10,10,0.542011166,10,10,0,10,10,10,10,10,-10,20,5,-1,
362,10,10,0.684387911,10,10,0,10,10,10,10,10,-10,20,5,-1,
363,10,10,0.862440283,10,10,0,10,10,10,10,10,-10,20,5,-1,
364,10,10,1.050531234,10,10,0,10,10,10,10,10,-10,20,5,-1,
365,10,10,1.181556632,10,10,0,10,10,10,10,10,-10,20,5,-1,
366,10,10,1.289812746,10,10,0,10,10,10,10,10,-10,20,5,-1,
367,10,10,1.475491525,10,10,0,10,10,10,10,10,-10,20,5,-1,
368,10,10,1.672726583,10,10,0,10,10,10,10,10,-10,20,5,-1,
369,10,10,1.828169953,10,10,0,10,10,10,10,10,-10,20,5,-1,
