time,buy_price,consumption_price,sell_price,reward_price,peak_categories,peak_tariff,peak_weight,energy_weight,time_res
78,0.100214,0.02,0.1139,0.12,A,2.5,1,30.41666667,0.25
79,0.100214,0.02,0.1139,0.12,A,2.5,1,30.41666667,0.25
80,0.100214,0.02,0.1139,0.12,A,2.5,1,30.41666667,0.25
81,0.100214,0.02,0.10758,0.12,A,2.5,1,30.41666667,0.25
82,0.100214,0.02,0.10758,0.12,A,2.5,1,30.41666667,0.25
83,0.100214,0.02,0.10758,0.12,A,2.5,1,30.41666667,0.25
84,0.100214,0.02,0.10758,0.12,A,2.5,1,30.41666667,0.25
85,0.100214,0.02,0.10431,0.12,A,2.5,1,30.41666667,0.25
86,0.100214,0.02,0.10431,0.12,A,2.5,1,30.41666667,0.25
87,0.100214,0.02,0.10431,0.12,A,2.5,1,30.41666667,0.25
88,0.100214,0.02,0.10431,0.12,A,2.5,1,30.41666667,0.25
89,0.100214,0.02,0.10168,0.12,A,2.5,1,30.41666667,0.25
90,0.100214,0.02,0.10168,0.12,A,2.5,1,30.41666667,0.25
91,0.100214,0.02,0.10168,0.12,A,2.5,1,30.41666667,0.25
92,0.100214,0.02,0.10168,0.12,A,2.5,1,30.41666667,0.25
93,0.100214,0.02,0.09139,0.12,A,2.5,1,30.41666667,0.25
94,0.100214,0.02,0.09139,0.12,A,2.5,1,30.41666667,0.25
95,0.100214,0.02,0.09139,0.12,A,2.5,1,30.41666667,0.25
96,0.100214,0.02,0.09139,0.12,A,2.5,1,30.41666667,0.25
97,0.088683,0.02,0.0806,0.12,B,2.5,1,30.41666667,0.25
98,0.088683,0.02,0.0806,0.12,B,2.5,1,30.41666667,0.25
99,0.088683,0.02,0.0806,0.12,B,2.5,1,30.41666667,0.25
100,0.088683,0.02,0.0806,0.12,B,2.5,1,30.41666667,0.25
101,0.088683,0.02,0.07219,0.12,B,2.5,1,30.41666667,0.25
102,0.088683,0.02,0.07219,0.12,B,2.5,1,30.41666667,0.25
103,0.088683,0.02,0.07219,0.12,B,2.5,1,30.41666667,0.25
104,0.088683,0.02,0.07219,0.12,B,2.5,1,30.41666667,0.25
105,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
106,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
107,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
108,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
109,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
110,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
111,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
112,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
113,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
114,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
115,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
116,0.088683,0.02,0.07095,0.12,B,2.5,1,30.41666667,0.25
117,0.088683,0.02,0.07827,0.12,B,2.5,1,30.41666667,0.25
118,0.088683,0.02,0.07827,0.12,B,2.5,1,30.41666667,0.25
119,0.088683,0.02,0.07827,0.12,B,2.5,1,30.41666667,0.25
120,0.088683,0.02,0.07827,0.12,B,2.5,1,30.41666667,0.25
121,0.088683,0.02,0.09142,0.12,B,2.5,1,30.41666667,0.25
122,0.088683,0.02,0.09142,0.12,B,2.5,1,30.41666667,0.25
123,0.088683,0.02,0.09142,0.12,B,2.5,1,30.41666667,0.25
124,0.088683,0.02,0.09142,0.12,B,2.5,1,30.41666667,0.25
125,0.088683,0.02,0.11,0.12,B,2.5,1,30.41666667,0.25
126,0.088683,0.02,0.11,0.12,B,2.5,1,30.41666667,0.25
127,0.088683,0.02,0.11,0.12,B,2.5,1,30.41666667,0.25
128,0.088683,0.02,0.11,0.12,B,2.5,1,30.41666667,0.25
129,0.088683,0.02,0.12725,0.12,B,2.5,1,30.41666667,0.25
130,0.088683,0.02,0.12725,0.12,B,2.5,1,30.41666667,0.25
131,0.088683,0.02,0.12725,0.12,B,2.5,1,30.41666667,0.25
132,0.088683,0.02,0.12725,0.12,B,2.5,1,30.41666667,0.25
133,0.088683,0.02,0.1065,0.12,B,2.5,1,30.41666667,0.25
134,0.088683,0.02,0.1065,0.12,B,2.5,1,30.41666667,0.25
135,0.088683,0.02,0.1065,0.12,B,2.5,1,30.41666667,0.25
136,0.088683,0.02,0.1065,0.12,B,2.5,1,30.41666667,0.25
137,0.088683,0.02,0.09158,0.12,B,2.5,1,30.41666667,0.25
138,0.088683,0.02,0.09158,0.12,B,2.5,1,30.41666667,0.25
139,0.088683,0.02,0.09158,0.12,B,2.5,1,30.41666667,0.25
140,0.088683,0.02,0.09158,0.12,B,2.5,1,30.41666667,0.25
141,0.088683,0.02,0.085,0.12,B,2.5,1,30.41666667,0.25
142,0.088683,0.02,0.085,0.12,B,2.5,1,30.41666667,0.25
143,0.088683,0.02,0.085,0.12,B,2.5,1,30.41666667,0.25
144,0.088683,0.02,0.085,0.12,B,2.5,1,30.41666667,0.25
145,0.088683,0.02,0.07253,0.12,B,2.5,1,30.41666667,0.25
146,0.088683,0.02,0.07253,0.12,B,2.5,1,30.41666667,0.25
147,0.088683,0.02,0.07253,0.12,B,2.5,1,30.41666667,0.25
148,0.088683,0.02,0.07253,0.12,B,2.5,1,30.41666667,0.25
149,0.088683,0.02,0.075,0.12,B,2.5,1,30.41666667,0.25
150,0.088683,0.02,0.075,0.12,B,2.5,1,30.41666667,0.25
151,0.088683,0.02,0.075,0.12,B,2.5,1,30.41666667,0.25
152,0.088683,0.02,0.075,0.12,B,2.5,1,30.41666667,0.25
153,0.088683,0.02,0.08346,0.12,B,2.5,1,30.41666667,0.25
154,0.088683,0.02,0.08346,0.12,B,2.5,1,30.41666667,0.25
155,0.088683,0.02,0.08346,0.12,B,2.5,1,30.41666667,0.25
156,0.088683,0.02,0.08346,0.12,B,2.5,1,30.41666667,0.25
157,0.088683,0.02,0.09,0.12,B,2.5,1,30.41666667,0.25
158,0.088683,0.02,0.09,0.12,B,2.5,1,30.41666667,0.25
159,0.088683,0.02,0.09,0.12,B,2.5,1,30.41666667,0.25
160,0.088683,0.02,0.09,0.12,B,2.5,1,30.41666667,0.25
161,0.088683,0.02,0.098,0.12,B,2.5,1,30.41666667,0.25
162,0.088683,0.02,0.098,0.12,B,2.5,1,30.41666667,0.25
163,0.088683,0.02,0.098,0.12,B,2.5,1,30.41666667,0.25
164,0.088683,0.02,0.098,0.12,B,2.5,1,30.41666667,0.25
165,0.088683,0.02,0.11285,0.12,B,2.5,1,30.41666667,0.25
166,0.088683,0.02,0.11285,0.12,B,2.5,1,30.41666667,0.25
167,0.088683,0.02,0.11285,0.12,B,2.5,1,30.41666667,0.25
168,0.088683,0.02,0.11285,0.12,B,2.5,1,30.41666667,0.25
169,0.088683,0.02,0.115,0.12,B,2.5,1,30.41666667,0.25
170,0.088683,0.02,0.115,0.12,B,2.5,1,30.41666667,0.25
171,0.088683,0.02,0.115,0.12,B,2.5,1,30.41666667,0.25
172,0.088683,0.02,0.115,0.12,B,2.5,1,30.41666667,0.25
173,0.088683,0.02,0.1187,0.12,B,2.5,1,30.41666667,0.25
174,0.088683,0.02,0.1187,0.12,B,2.5,1,30.41666667,0.25
175,0.088683,0.02,0.1187,0.12,B,2.5,1,30.41666667,0.25
176,0.088683,0.02,0.1187,0.12,B,2.5,1,30.41666667,0.25
177,0.088683,0.02,0.10408,0.12,B,2.5,1,30.41666667,0.25
178,0.088683,0.02,0.10408,0.12,B,2.5,1,30.41666667,0.25
179,0.088683,0.02,0.10408,0.12,B,2.5,1,30.41666667,0.25
180,0.088683,0.02,0.10408,0.12,B,2.5,1,30.41666667,0.25
181,0.088683,0.02,0.09178,0.12,B,2.5,1,30.41666667,0.25
182,0.088683,0.02,0.09178,0.12,B,2.5,1,30.41666667,0.25
183,0.088683,0.02,0.09178,0.12,B,2.5,1,30.41666667,0.25
184,0.088683,0.02,0.09178,0.12,B,2.5,1,30.41666667,0.25
185,0.088683,0.02,0.09128,0.12,B,2.5,1,30.41666667,0.25
186,0.088683,0.02,0.09128,0.12,B,2.5,1,30.41666667,0.25
187,0.088683,0.02,0.09128,0.12,B,2.5,1,30.41666667,0.25
188,0.088683,0.02,0.09128,0.12,B,2.5,1,30.41666667,0.25
189,0.088683,0.02,0.089,0.12,B,2.5,1,30.41666667,0.25
190,0.088683,0.02,0.089,0.12,B,2.5,1,30.41666667,0.25
191,0.088683,0.02,0.089,0.12,B,2.5,1,30.41666667,0.25
192,0.088683,0.02,0.089,0.12,B,2.5,1,30.41666667,0.25
193,0.089919,0.02,0.09,0.12,C,2.5,1,30.41666667,0.25
194,0.089919,0.02,0.09,0.12,C,2.5,1,30.41666667,0.25
195,0.089919,0.02,0.09,0.12,C,2.5,1,30.41666667,0.25
196,0.089919,0.02,0.09,0.12,C,2.5,1,30.41666667,0.25
197,0.089919,0.02,0.07823,0.12,C,2.5,1,30.41666667,0.25
198,0.089919,0.02,0.07823,0.12,C,2.5,1,30.41666667,0.25
199,0.089919,0.02,0.07823,0.12,C,2.5,1,30.41666667,0.25
200,0.089919,0.02,0.07823,0.12,C,2.5,1,30.41666667,0.25
201,0.089919,0.02,0.0742,0.12,C,2.5,1,30.41666667,0.25
202,0.089919,0.02,0.0742,0.12,C,2.5,1,30.41666667,0.25
203,0.089919,0.02,0.0742,0.12,C,2.5,1,30.41666667,0.25
204,0.089919,0.02,0.0742,0.12,C,2.5,1,30.41666667,0.25
205,0.089919,0.02,0.07425,0.12,C,2.5,1,30.41666667,0.25
206,0.089919,0.02,0.07425,0.12,C,2.5,1,30.41666667,0.25
207,0.089919,0.02,0.07425,0.12,C,2.5,1,30.41666667,0.25
208,0.089919,0.02,0.07425,0.12,C,2.5,1,30.41666667,0.25
209,0.089919,0.02,0.076,0.12,C,2.5,1,30.41666667,0.25
210,0.089919,0.02,0.076,0.12,C,2.5,1,30.41666667,0.25
211,0.089919,0.02,0.076,0.12,C,2.5,1,30.41666667,0.25
212,0.089919,0.02,0.076,0.12,C,2.5,1,30.41666667,0.25
213,0.089919,0.02,0.085,0.12,C,2.5,1,30.41666667,0.25
214,0.089919,0.02,0.085,0.12,C,2.5,1,30.41666667,0.25
215,0.089919,0.02,0.085,0.12,C,2.5,1,30.41666667,0.25
216,0.089919,0.02,0.085,0.12,C,2.5,1,30.41666667,0.25
217,0.089919,0.02,0.09566,0.12,C,2.5,1,30.41666667,0.25
218,0.089919,0.02,0.09566,0.12,C,2.5,1,30.41666667,0.25
219,0.089919,0.02,0.09566,0.12,C,2.5,1,30.41666667,0.25
220,0.089919,0.02,0.09566,0.12,C,2.5,1,30.41666667,0.25
221,0.089919,0.02,0.09998,0.12,C,2.5,1,30.41666667,0.25
222,0.089919,0.02,0.09998,0.12,C,2.5,1,30.41666667,0.25
223,0.089919,0.02,0.09998,0.12,C,2.5,1,30.41666667,0.25
224,0.089919,0.02,0.09998,0.12,C,2.5,1,30.41666667,0.25
225,0.089919,0.02,0.105,0.12,C,2.5,1,30.41666667,0.25
226,0.089919,0.02,0.105,0.12,C,2.5,1,30.41666667,0.25
227,0.089919,0.02,0.105,0.12,C,2.5,1,30.41666667,0.25
228,0.089919,0.02,0.105,0.12,C,2.5,1,30.41666667,0.25
229,0.089919,0.02,0.0986,0.12,C,2.5,1,30.41666667,0.25
230,0.089919,0.02,0.0986,0.12,C,2.5,1,30.41666667,0.25
231,0.089919,0.02,0.0986,0.12,C,2.5,1,30.41666667,0.25
232,0.089919,0.02,0.0986,0.12,C,2.5,1,30.41666667,0.25
233,0.089919,0.02,0.08998,0.12,C,2.5,1,30.41666667,0.25
234,0.089919,0.02,0.08998,0.12,C,2.5,1,30.41666667,0.25
235,0.089919,0.02,0.08998,0.12,C,2.5,1,30.41666667,0.25
236,0.089919,0.02,0.08998,0.12,C,2.5,1,30.41666667,0.25
237,0.089919,0.02,0.08614,0.12,C,2.5,1,30.41666667,0.25
238,0.089919,0.02,0.08614,0.12,C,2.5,1,30.41666667,0.25
239,0.089919,0.02,0.08614,0.12,C,2.5,1,30.41666667,0.25
240,0.089919,0.02,0.08614,0.12,C,2.5,1,30.41666667,0.25
241,0.089919,0.02,0.075,0.12,C,2.5,1,30.41666667,0.25
242,0.089919,0.02,0.075,0.12,C,2.5,1,30.41666667,0.25
243,0.089919,0.02,0.075,0.12,C,2.5,1,30.41666667,0.25
244,0.089919,0.02,0.075,0.12,C,2.5,1,30.41666667,0.25
245,0.089919,0.02,0.0765,0.12,C,2.5,1,30.41666667,0.25
246,0.089919,0.02,0.0765,0.12,C,2.5,1,30.41666667,0.25
247,0.089919,0.02,0.0765,0.12,C,2.5,1,30.41666667,0.25
248,0.089919,0.02,0.0765,0.12,C,2.5,1,30.41666667,0.25
249,0.089919,0.02,0.08437,0.12,C,2.5,1,30.41666667,0.25
250,0.089919,0.02,0.08437,0.12,C,2.5,1,30.41666667,0.25
251,0.089919,0.02,0.08437,0.12,C,2.5,1,30.41666667,0.25
252,0.089919,0.02,0.08437,0.12,C,2.5,1,30.41666667,0.25
253,0.089919,0.02,0.09,0.12,C,2.5,1,30.41666667,0.25
254,0.089919,0.02,0.09,0.12,C,2.5,1,30.41666667,0.25
255,0.089919,0.02,0.09,0.12,C,2.5,1,30.41666667,0.25
256,0.089919,0.02,0.09,0.12,C,2.5,1,30.41666667,0.25
257,0.089919,0.02,0.09287,0.12,C,2.5,1,30.41666667,0.25
258,0.089919,0.02,0.09287,0.12,C,2.5,1,30.41666667,0.25
259,0.089919,0.02,0.09287,0.12,C,2.5,1,30.41666667,0.25
260,0.089919,0.02,0.09287,0.12,C,2.5,1,30.41666667,0.25
261,0.089919,0.02,0.09714,0.12,C,2.5,1,30.41666667,0.25
262,0.089919,0.02,0.09714,0.12,C,2.5,1,30.41666667,0.25
263,0.089919,0.02,0.09714,0.12,C,2.5,1,30.41666667,0.25
264,0.089919,0.02,0.09714,0.12,C,2.5,1,30.41666667,0.25
265,0.089919,0.02,0.10348,0.12,C,2.5,1,30.41666667,0.25
266,0.089919,0.02,0.10348,0.12,C,2.5,1,30.41666667,0.25
267,0.089919,0.02,0.10348,0.12,C,2.5,1,30.41666667,0.25
268,0.089919,0.02,0.10348,0.12,C,2.5,1,30.41666667,0.25
269,0.089919,0.02,0.107,0.12,C,2.5,1,30.41666667,0.25
270,0.089919,0.02,0.107,0.12,C,2.5,1,30.41666667,0.25
271,0.089919,0.02,0.107,0.12,C,2.5,1,30.41666667,0.25
272,0.089919,0.02,0.107,0.12,C,2.5,1,30.41666667,0.25
273,0.089919,0.02,0.10165,0.12,C,2.5,1,30.41666667,0.25
274,0.089919,0.02,0.10165,0.12,C,2.5,1,30.41666667,0.25
275,0.089919,0.02,0.10165,0.12,C,2.5,1,30.41666667,0.25
276,0.089919,0.02,0.10165,0.12,C,2.5,1,30.41666667,0.25
277,0.089919,0.02,0.0941,0.12,C,2.5,1,30.41666667,0.25
278,0.089919,0.02,0.0941,0.12,C,2.5,1,30.41666667,0.25
279,0.089919,0.02,0.0941,0.12,C,2.5,1,30.41666667,0.25
280,0.089919,0.02,0.0941,0.12,C,2.5,1,30.41666667,0.25
281,0.089919,0.02,0.09005,0.12,C,2.5,1,30.41666667,0.25
282,0.089919,0.02,0.09005,0.12,C,2.5,1,30.41666667,0.25
283,0.089919,0.02,0.09005,0.12,C,2.5,1,30.41666667,0.25
284,0.089919,0.02,0.09005,0.12,C,2.5,1,30.41666667,0.25
285,0.089919,0.02,0.0893,0.12,C,2.5,1,30.41666667,0.25
286,0.089919,0.02,0.0893,0.12,C,2.5,1,30.41666667,0.25
287,0.089919,0.02,0.0893,0.12,C,2.5,1,30.41666667,0.25
288,0.089919,0.02,0.0893,0.12,C,2.5,1,30.41666667,0.25
289,0.08786,0.02,0.086,0.12,D,2.5,1,30.41666667,0.25
290,0.08786,0.02,0.086,0.12,D,2.5,1,30.41666667,0.25
291,0.08786,0.02,0.086,0.12,D,2.5,1,30.41666667,0.25
292,0.08786,0.02,0.086,0.12,D,2.5,1,30.41666667,0.25
293,0.08786,0.02,0.07661,0.12,D,2.5,1,30.41666667,0.25
294,0.08786,0.02,0.07661,0.12,D,2.5,1,30.41666667,0.25
295,0.08786,0.02,0.07661,0.12,D,2.5,1,30.41666667,0.25
296,0.08786,0.02,0.07661,0.12,D,2.5,1,30.41666667,0.25
297,0.08786,0.02,0.0738,0.12,D,2.5,1,30.41666667,0.25
298,0.08786,0.02,0.0738,0.12,D,2.5,1,30.41666667,0.25
299,0.08786,0.02,0.0738,0.12,D,2.5,1,30.41666667,0.25
300,0.08786,0.02,0.0738,0.12,D,2.5,1,30.41666667,0.25
301,0.08786,0.02,0.0753,0.12,D,2.5,1,30.41666667,0.25
302,0.08786,0.02,0.0753,0.12,D,2.5,1,30.41666667,0.25
303,0.08786,0.02,0.0753,0.12,D,2.5,1,30.41666667,0.25
304,0.08786,0.02,0.0753,0.12,D,2.5,1,30.41666667,0.25
305,0.08786,0.02,0.07184,0.12,D,2.5,1,30.41666667,0.25
306,0.08786,0.02,0.07184,0.12,D,2.5,1,30.41666667,0.25
307,0.08786,0.02,0.07184,0.12,D,2.5,1,30.41666667,0.25
308,0.08786,0.02,0.07184,0.12,D,2.5,1,30.41666667,0.25
309,0.08786,0.02,0.0825,0.12,D,2.5,1,30.41666667,0.25
310,0.08786,0.02,0.0825,0.12,D,2.5,1,30.41666667,0.25
311,0.08786,0.02,0.0825,0.12,D,2.5,1,30.41666667,0.25
312,0.08786,0.02,0.0825,0.12,D,2.5,1,30.41666667,0.25
313,0.08786,0.02,0.10699,0.12,D,2.5,1,30.41666667,0.25
314,0.08786,0.02,0.10699,0.12,D,2.5,1,30.41666667,0.25
315,0.08786,0.02,0.10699,0.12,D,2.5,1,30.41666667,0.25
316,0.08786,0.02,0.10699,0.12,D,2.5,1,30.41666667,0.25
317,0.08786,0.02,0.14595,0.11405,D,2.5,1,30.41666667,0.25
318,0.08786,0.02,0.14595,0.11405,D,2.5,1,30.41666667,0.25
319,0.08786,0.02,0.14595,0.11405,D,2.5,1,30.41666667,0.25
320,0.08786,0.02,0.14595,0.11405,D,2.5,1,30.41666667,0.25
321,0.08786,0.02,0.14313,0.11687,D,2.5,1,30.41666667,0.25
322,0.08786,0.02,0.14313,0.11687,D,2.5,1,30.41666667,0.25
323,0.08786,0.02,0.14313,0.11687,D,2.5,1,30.41666667,0.25
324,0.08786,0.02,0.14313,0.11687,D,2.5,1,30.41666667,0.25
325,0.08786,0.02,0.10372,0.12,D,2.5,1,30.41666667,0.25
326,0.08786,0.02,0.10372,0.12,D,2.5,1,30.41666667,0.25
327,0.08786,0.02,0.10372,0.12,D,2.5,1,30.41666667,0.25
328,0.08786,0.02,0.10372,0.12,D,2.5,1,30.41666667,0.25
329,0.08786,0.02,0.09462,0.12,D,2.5,1,30.41666667,0.25
330,0.08786,0.02,0.09462,0.12,D,2.5,1,30.41666667,0.25
331,0.08786,0.02,0.09462,0.12,D,2.5,1,30.41666667,0.25
332,0.08786,0.02,0.09462,0.12,D,2.5,1,30.41666667,0.25
333,0.08786,0.02,0.08237,0.12,D,2.5,1,30.41666667,0.25
334,0.08786,0.02,0.08237,0.12,D,2.5,1,30.41666667,0.25
335,0.08786,0.02,0.08237,0.12,D,2.5,1,30.41666667,0.25
336,0.08786,0.02,0.08237,0.12,D,2.5,1,30.41666667,0.25
337,0.08786,0.02,0.0695,0.12,D,2.5,1,30.41666667,0.25
338,0.08786,0.02,0.0695,0.12,D,2.5,1,30.41666667,0.25
339,0.08786,0.02,0.0695,0.12,D,2.5,1,30.41666667,0.25
340,0.08786,0.02,0.0695,0.12,D,2.5,1,30.41666667,0.25
341,0.08786,0.02,0.06104,0.12,D,2.5,1,30.41666667,0.25
342,0.08786,0.02,0.06104,0.12,D,2.5,1,30.41666667,0.25
343,0.08786,0.02,0.06104,0.12,D,2.5,1,30.41666667,0.25
344,0.08786,0.02,0.06104,0.12,D,2.5,1,30.41666667,0.25
345,0.08786,0.02,0.07,0.12,D,2.5,1,30.41666667,0.25
346,0.08786,0.02,0.07,0.12,D,2.5,1,30.41666667,0.25
347,0.08786,0.02,0.07,0.12,D,2.5,1,30.41666667,0.25
348,0.08786,0.02,0.07,0.12,D,2.5,1,30.41666667,0.25
349,0.08786,0.02,0.075,0.12,D,2.5,1,30.41666667,0.25
350,0.08786,0.02,0.075,0.12,D,2.5,1,30.41666667,0.25
351,0.08786,0.02,0.075,0.12,D,2.5,1,30.41666667,0.25
352,0.08786,0.02,0.075,0.12,D,2.5,1,30.41666667,0.25
353,0.08786,0.02,0.085,0.12,D,2.5,1,30.41666667,0.25
354,0.08786,0.02,0.085,0.12,D,2.5,1,30.41666667,0.25
355,0.08786,0.02,0.085,0.12,D,2.5,1,30.41666667,0.25
356,0.08786,0.02,0.085,0.12,D,2.5,1,30.41666667,0.25
357,0.08786,0.02,0.0901,0.12,D,2.5,1,30.41666667,0.25
358,0.08786,0.02,0.0901,0.12,D,2.5,1,30.41666667,0.25
359,0.08786,0.02,0.0901,0.12,D,2.5,1,30.41666667,0.25
360,0.08786,0.02,0.0901,0.12,D,2.5,1,30.41666667,0.25
361,0.08786,0.02,0.09664,0.12,D,2.5,1,30.41666667,0.25
362,0.08786,0.02,0.09664,0.12,D,2.5,1,30.41666667,0.25
363,0.08786,0.02,0.09664,0.12,D,2.5,1,30.41666667,0.25
364,0.08786,0.02,0.09664,0.12,D,2.5,1,30.41666667,0.25
365,0.08786,0.02,0.1276,0.12,D,2.5,1,30.41666667,0.25
366,0.08786,0.02,0.1276,0.12,D,2.5,1,30.41666667,0.25
367,0.08786,0.02,0.1276,0.12,D,2.5,1,30.41666667,0.25
